id,vae_x,vae_y,vae_eventTags,vae_cluster_label,tft_x,tft_y,tft_eventTags,tft_cluster_label
105-2,3.0415008,10.561144,Events::External::Motor Vehicle Accident/r/nState::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Recloser,0,11.412416,5.688847,Events::External::Motor Vehicle Accident/r/nState::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Recloser,0
106-1,3.5474837,5.6363053,Events::External::Motor Vehicle Accident/r/nEquipment::Overhead Equipment::Pole,0,11.410849,5.685514,Events::External::Motor Vehicle Accident/r/nEquipment::Overhead Equipment::Pole,0
106-2,3.7165203,4.17153,Events::External::Motor Vehicle Accident/r/nEquipment::Overhead Equipment::Pole,0,11.411492,5.686474,Events::External::Motor Vehicle Accident/r/nEquipment::Overhead Equipment::Pole,0
107-1,5.9871063,5.9973254,Events::External::Motor Vehicle Accident/r/nState::Change State::Open/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Circuit Breaker,0,12.206176,4.7266874,Events::External::Motor Vehicle Accident/r/nState::Change State::Open/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Circuit Breaker,0
107-2,4.0522685,3.463898,Events::External::Motor Vehicle Accident/r/nState::Change State::Open/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Circuit Breaker,0,12.525435,1.9685215,Events::External::Motor Vehicle Accident/r/nState::Change State::Open/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Circuit Breaker,0
108-1,-6.0085497,-1.405105,Events::Fault::Nonspecific Fault/r/nEvents::External::Customer Equipment,0,11.917479,1.2982246,Events::Fault::Nonspecific Fault/r/nEvents::External::Customer Equipment,0
108-2,-5.7333975,1.352132,Events::Fault::Nonspecific Fault/r/nEvents::External::Customer Equipment,0,11.74169,1.1073558,Events::Fault::Nonspecific Fault/r/nEvents::External::Customer Equipment,0
109-1,-5.4386187,3.913877,State::Change State::Off/r/nEquipment::Devices::Capacitor,0,11.650039,1.0139463,State::Change State::Off/r/nEquipment::Devices::Capacitor,0
109-2,-4.3123345,6.7186174,State::Change State::Off/r/nEquipment::Devices::Capacitor,0,11.623518,0.99466676,State::Change State::Off/r/nEquipment::Devices::Capacitor,0
110-1,5.3139205,4.489222,State::Change State::On/r/nEquipment::Devices::Capacitor,0,2.517406,1.029666,State::Change State::On/r/nEquipment::Devices::Capacitor,0
110-2,-3.2165926,-3.6504562,State::Change State::On/r/nEquipment::Devices::Capacitor,0,2.3637574,1.3014146,State::Change State::On/r/nEquipment::Devices::Capacitor,0
137-1,-0.03966971,3.6551163,Events::Power Quality::Current Surge/r/nEvents::Power Quality::Transient/r/nEvents::Other::Unknown,0,3.0686722,1.692487,Events::Power Quality::Current Surge/r/nEvents::Power Quality::Transient/r/nEvents::Other::Unknown,0
